# The Workshop residues' sheet, regenerated from 45da4e8 by apply.py seed grab-bags; one row per moved body.
source	name	first_param	pointer_first	start_line	end_line	pointer_ids	destination	banner
workshop/weave_save.cpp	refresh_external_rooms	Mail	296	297	334	WL-PANE-06	workshop/weave_external.cpp	// ---- THE EXTERNAL PANE'S ROOM AND GESTURES: the grant, a press, a key, the wheel, text ----
workshop/weave_save.cpp	external_press	int64_t	336	337	356	WL-PRESS-04	workshop/weave_external.cpp	// ---- THE EXTERNAL PANE'S ROOM AND GESTURES: the grant, a press, a key, the wheel, text ----
workshop/weave_save.cpp	keyboard_pane		358	359	361	WL-FOCUS-01,WL-FOCUS-05	workshop/weave_external.cpp	// ---- THE EXTERNAL PANE'S ROOM AND GESTURES: the grant, a press, a key, the wheel, text ----
workshop/weave_save.cpp	external_key	int64_t	363	363	371		workshop/weave_external.cpp	// ---- THE EXTERNAL PANE'S ROOM AND GESTURES: the grant, a press, a key, the wheel, text ----
workshop/weave_save.cpp	external_wheel	int64_t	373	373	388		workshop/weave_external.cpp	// ---- THE EXTERNAL PANE'S ROOM AND GESTURES: the grant, a press, a key, the wheel, text ----
workshop/weave_save.cpp	unselect_pane		390	393	398	WL-ARR-13,WL-ARR-14,WL-FOCUS-05,WL-FRONT-04	workshop/weave_external.cpp	// ---- THE EXTERNAL PANE'S ROOM AND GESTURES: the grant, a press, a key, the wheel, text ----
workshop/weave_save.cpp	external_text	int64_t	400	400	408		workshop/weave_external.cpp	// ---- THE EXTERNAL PANE'S ROOM AND GESTURES: the grant, a press, a key, the wheel, text ----
workshop/weave_save.cpp	frontier_now		410	411	413	WL-ATTN-04	workshop/weave_run.cpp	// ---- THE RUN: what is true now, the picture published, and the way out --------------
workshop/weave_save.cpp	interaction_now		415	415	417		workshop/weave_run.cpp	// ---- THE RUN: what is true now, the picture published, and the way out --------------
workshop/weave_save.cpp	repaint	Mail	419	419	448		workshop/weave_run.cpp	// ---- THE RUN: what is true now, the picture published, and the way out --------------
workshop/weave_save.cpp	quit		450	453	481	WL-EDIT-03,WL-MAKER-08,WL-SESSION-13	workshop/weave_run.cpp	// ---- THE RUN: what is true now, the picture published, and the way out --------------
workshop/weave_save.cpp	finish_draft_first		483	484	487	WL-CTX-07,WL-CTRL-03	workshop/weave_run.cpp	// ---- THE RUN: what is true now, the picture published, and the way out --------------
